X,Y,U,V,absV,
Rectangular zone
1.59006,0.211655,-0.487846,-0.164689,0.518228,
-1.78551,0.253986,0.364951,-0.131359,0.419529,
-1.71662,0.253986,-0.0477333,-0.118649,0.140074,
-1.64773,0.253986,0.534156,-0.230993,0.58956,
-1.57884,0.253986,0.614224,-0.17997,0.6779,
-1.50996,0.253986,0.0811203,0.13885,0.165521,
-1.44107,0.253986,0.0678747,-0.0436041,0.0807828,
-1.37218,0.253986,0.415904,-0.0568756,0.488443,
-1.30329,0.253986,0.415596,-0.181759,0.461624,
-1.2344,0.253986,0.258824,-0.154911,0.343391,
-1.16551,0.253986,2.08747,-1.52998,2.58957,
-1.09662,0.253986,0.712696,-0.793321,1.07344,
-1.02773,0.253986,2.27089,-1.80752,2.90863,
-0.958841,0.253986,4.03958,-3.55296,5.38616,
-0.889952,0.253986,2.4113,-2.42861,3.42636,
-0.821062,0.253986,6.27069,-6.45306,9.01606,
-0.752173,0.253986,4.78464,-5.05777,6.98834,
-0.683284,0.253986,5.18327,-3.45868,6.32062,
-0.614395,0.253986,3.16782,-1.99126,3.74521,
-0.545505,0.253986,2.96785,-1.74487,3.54003,
-0.476616,0.253986,0.300206,-0.241346,0.413644,
-0.407727,0.253986,0.0060532,-0.0100007,0.0127398,
-0.338837,0.253986,0.00946438,-0.0079331,0.0123494,
-0.269948,0.253986,2.43915e-005,-0.000649751,0.000650208,
-0.201059,0.253986,0,0,0,
-0.132169,0.253986,0,0,0,
-0.06328,0.253986,0,0,0,
0.00560927,0.253986,0,0,0,
0.0744986,0.253986,0,0,0,
0.143388,0.253986,0,0,0,
0.212277,0.253986,0,0,0,
0.281167,0.253986,0.000130389,-0.00016542,0.00021063,
0.350056,0.253986,-0.000743144,-0.0025527,0.00265867,
0.418945,0.253986,-0.000218989,-0.000491248,0.000542498,
0.487834,0.253986,-0.130157,-0.20992,0.263099,
0.556724,0.253986,-0.611202,-0.817246,1.04233,
0.625613,0.253986,-0.909948,-0.936473,1.32508,
0.694502,0.253986,-2.27644,-3.10864,3.87857,
0.763392,0.253986,-2.90781,-3.89012,4.8607,
0.832281,0.253986,-1.67364,-2.01273,2.63965,
0.90117,0.253986,-2.16051,-2.44942,3.27256,
0.97006,0.253986,-0.749034,-0.701111,1.03642,
1.03895,0.253986,-0.124894,-0.387511,0.568391,
1.10784,0.253986,-1.48762,-0.910585,1.75451,
1.17673,0.253986,-1.23267,-0.802507,1.47107,
1.24562,0.253986,-1.29228,-0.958966,1.61155,
1.31451,0.253986,-0.777912,-0.464454,0.912879,
1.3834,0.253986,-0.395959,-0.253311,0.494604,
1.45228,0.253986,-0.260017,-0.190793,0.331428,
1.52117,0.253986,-0.552379,-0.219994,0.597361,
1.59006,0.253986,-0.364069,-0.22349,0.430405,
-1.78551,0.296318,0.000462859,0.0687339,0.0696627,
-1.71662,0.296318,0.629007,-0.255855,0.680632,
-1.64773,0.296318,0.151701,-0.0909559,0.219328,
-1.57884,0.296318,-0.254869,0.0228286,0.293161,
-1.50996,0.296318,0.425614,-0.336324,0.546519,
-1.44107,0.296318,1.0948,-0.698999,1.30159,
-1.37218,0.296318,1.44771,-0.646058,1.59263,
-1.30329,0.296318,0.0640714,-0.176091,0.227694,
-1.2344,0.296318,1.06756,-0.845236,1.3712,
-1.16551,0.296318,2.70219,-2.19884,3.48426,
-1.09662,0.296318,2.86254,-2.53358,3.8247,
-1.02773,0.296318,1.38666,-1.38388,1.96003,
